,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23,Guinea,GIN,325000.0,547960.0,478491.0,577158.0,553244.0,672298.0,663854.0,435300.0,482467.0,501544.0,427206.0,178444.0,182163.0,184341.0,139252.0,63525.0,31468.0,25226.0,21488.0,15325.0,14113.0,16609.0,10371.0,8560.0,8766.0,8839.0,5057.0
24,Gambia,GMB,78.0,241.0,3632.0,2190.0,2206.0,6599.0,6924.0,7279.0,10320.0,17219.0,12016.0,8133.0,12120.0,7465.0,7343.0,7330.0,13761.0,14895.0,14836.0,10118.0,8378.0,9528.0,9853.0,9563.0,11608.0,7854.0,7936.0
25,Guinea-Bissau,GNB,3004.0,4631.0,12163.0,20735.0,23909.0,15350.0,15401.0,15982.0,6604.0,7120.0,7587.0,7332.0,7639.0,7551.0,7536.0,7616.0,7804.0,7860.0,7884.0,7898.0,7679.0,7800.0,7784.0,8535.0,8684.0,8684.0,9259.0
26,Guatemala,GTM,223377.0,223236.0,222929.0,4689.0,4672.0,1496.0,1564.0,1508.0,815.0,732.0,720.0,729.0,733.0,715.0,656.0,391.0,382.0,379.0,130.0,131.0,138.0,147.0,159.0,160.0,164.0,226.0,295.0
27,Honduras,HND,237100.0,101961.0,100348.0,65.0,104.0,63.0,63.0,9.0,9.0,9.0,12.0,20.0,29.0,23.0,23.0,22.0,22.0,22.0,24.0,19.0,14.0,17.0,16.0,16.0,26.0,30.0,11.0
28,Haiti,HTI,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,3.0,3.0,
29,Indonesia,IDN,3278.0,3156.0,3530.0,2402.0,97.0,19.0,61.0,34.0,47.0,162506.0,122618.0,73551.0,28596.0,233.0,169.0,89.0,301.0,315.0,369.0,798.0,811.0,1006.0,1819.0,3206.0,4270.0,5957.0,7819.0
30,India,IND,212743.0,210569.0,258372.0,262798.0,258341.0,227480.0,233370.0,223073.0,185516.0,180031.0,170941.0,169549.0,168855.0,164757.0,162687.0,139283.0,158366.0,161537.0,184543.0,185323.0,184821.0,185118.0,185656.0,188395.0,199937.0,201381.0,197823.0
31,Iran  (Islamic Republic of),IRN,4174401.0,4404995.0,4150723.0,2495038.0,2236350.0,2071988.0,2030359.0,1982553.0,1931332.0,1835688.0,1868000.0,1868000.0,1306599.0,984896.0,1045976.0,974302.0,968370.0,963546.0,980109.0,1070488.0,1073366.0,886468.0,868242.0,857354.0,982027.0,979437.0,979435.0
32,Iraq,IRQ,900.0,87990.0,115000.0,109066.0,119581.0,116722.0,112957.0,104032.0,104022.0,128913.0,127787.0,128142.0,134190.0,46721.0,46053.0,50177.0,44406.0,42354.0,39503.0,35218.0,34655.0,35189.0,98822.0,246298.0,271143.0,277701.0,261882.0
33,State of Palestine,ISR,,,,,,,,,27.0,128.0,4075.0,4168.0,4179.0,4179.0,574.0,609.0,837.0,1156.0,9137.0,17736.0,25471.0,41235.0,48505.0,48201.0,39716.0,32946.0,32909.0
34,Jordan,JOR,929737.0,1001357.0,1073007.0,1145025.0,1216957.0,1288895.0,1359580.0,1438104.0,1488226.0,1542417.0,1610638.0,1663294.0,1699470.0,1741366.0,1777769.0,1828842.0,2358591.0,2403771.0,2452016.0,2434489.0,2450381.0,2430589.0,2337348.0,2712888.0,2771502.0,2808351.0,2860669.0
35,Kenya,KEN,14249.0,120163.0,402194.0,301595.0,252423.0,234665.0,223640.0,232097.0,238187.0,223696.0,206106.0,239221.0,233671.0,237512.0,239835.0,251271.0,272531.0,265729.0,320605.0,358928.0,402905.0,566487.0,564933.0,534938.0,551352.0,553912.0,451077.0
36,Kyrgyzstan,KGZ,,,,21242.0,21239.0,13407.0,16707.0,15276.0,14560.0,10849.0,10609.0,9296.0,7708.0,5591.0,3753.0,2598.0,366.0,723.0,375.0,423.0,2458.0,6095.0,4941.0,466.0,482.0,354.0,334.0
37,Cambodia,KHM,,,,5.0,10.0,15.0,16.0,14.0,21.0,21.0,34.0,50.0,200.0,76.0,382.0,127.0,99.0,179.0,164.0,135.0,129.0,64.0,77.0,68.0,63.0,76.0,61.0
38,Lao People's Democratic Republic,LAO,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
39,Lebanon,LBN,304599.0,316095.0,325707.0,329705.0,338700.0,348031.0,355076.0,365160.0,371294.0,377612.0,382744.0,387733.0,392053.0,397054.0,400905.0,405248.0,428602.0,464299.0,472607.0,476053.0,463436.0,445144.0,575483.0,1303874.0,1606709.0,1529223.0,1476618.0
40,Liberia,LBR,,,100048.0,150153.0,120163.0,120080.0,120061.0,126886.0,96317.0,96317.0,69315.0,54760.0,64956.0,33997.0,15172.0,10168.0,16185.0,10466.0,10224.0,6952.0,24743.0,128293.0,65909.0,53253.0,38595.0,36505.0,18973.0
41,Sri Lanka,LKA,,15.0,21.0,19.0,13.0,16.0,14.0,26.0,29.0,21.0,16.0,17.0,28.0,30.0,63.0,106.0,162.0,182.0,269.0,251.0,223.0,188.0,110.0,145.0,511.0,784.0,597.0
42,Lesotho,LSO,214.0,220.0,117.0,60.0,58.0,,,,,1.0,,39.0,,,,,,,,,,34.0,34.0,30.0,44.0,31.0,36.0
43,Madagascar,MDG,,,,,73.0,,,,,28.0,50.0,34.0,,,,,,,,,,9.0,9.0,12.0,11.0,10.0,22.0
44,Mali,MLI,13411.0,13120.0,13109.0,15224.0,15800.0,17916.0,18234.0,12552.0,13598.0,8302.0,8412.0,8439.0,9095.0,10009.0,11256.0,11233.0,10585.0,9203.0,9578.0,13538.0,13558.0,15624.0,13928.0,14316.0,15195.0,15917.0,17510.0
45,Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mozambique,MOZ,420.0,420.0,299.0,202.0,322.0,128.0,198.0,72.0,52.0,220.0,207.0,207.0,207.0,311.0,623.0,1954.0,2558.0,2767.0,3163.0,3547.0,4077.0,4079.0,4398.0,4445.0,4536.0,5622.0,4663.0
47,Mauritania,MRT,60000.0,35200.0,37500.0,51548.0,82229.0,34394.0,15880.0,7511.0,26.0,223.0,350.0,365.0,405.0,475.0,473.0,632.0,770.0,30471.0,27041.0,26795.0,26717.0,26535.0,80496.0,92767.0,75635.0,77394.0,74117.0
48,Malawi,MWI,926725.0,981812.0,1058498.0,713607.0,90242.0,1018.0,1268.0,280.0,1245.0,1700.0,3900.0,6200.0,2166.0,3202.0,3682.0,4240.0,3943.0,2929.0,4175.0,5443.0,5740.0,6308.0,6544.0,5796.0,5874.0,9019.0,9386.0
49,Niger,NER,792.0,1385.0,3699.0,16692.0,15070.0,27622.0,25845.0,7376.0,3691.0,350.0,58.0,83.0,296.0,328.0,344.0,301.0,317.0,319.0,320.0,325.0,314.0,302.0,50510.0,57661.0,77830.0,124721.0,166084.0
